objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
114227,SN,2022ryw,274.601125,30.059269444444446,0.075,,SN Ia,,"ZTF, ALeRCE, ATLAS, Fink, Pan-STARRS, GaiaAlerts",,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts",2022/8/21 5:54,19.98,g-ZTF,g-ZTF,,,ZTF22abbsbys,None,None,,
114248,SN,2022rzr,332.163475,-10.82606944,0.088,,SN Ia,,"ALeRCE, ATLAS, Fink",,"ZTF, ATLAS",2022/8/21 7:04,20.5506,g-ZTF,g-ZTF,,,ZTF22abccfni,None,None,,
114256,SN,2022rzz,324.2770125,0.6447499999999999,0.085,,SN Ia,,"ALeRCE, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/21 7:04,20.4505,g-ZTF,g-ZTF,,,ZTF22abbtqmf,None,None,,
114265,SN,2022sah,36.34108333333333,-76.77006944,0.05,,SN Ia,,"ATLAS, GaiaAlerts",,"ATLAS, GaiaAlerts",2022/8/23 3:01,18.885,orange-ATLAS,orange-ATLAS,,,ATLAS22bbfp,None,None,,
114266,SN,2022sai,218.5906875,-1.008230556,0.02542,,SN Ia-91T-like,,"ASAS-SN, ALeRCE, Pan-STARRS",,"ASAS-SN, ZTF, Pan-STARRS",2022/8/20 0:00,17.3,g-Sloan,g-Sloan,,,ASASSN-22km,None,None,,
114270,SN,2022sam,46.555641666666666,-11.96301667,0.08,,SN Ia,,"Pan-STARRS, ATLAS",,"Pan-STARRS, ATLAS",2022/8/22 14:22,19.36,w-P1,w-P1,,,PS22hfy,None,None,,
114271,SN,2022san,292.8469583333333,-18.05949722,0.14,,SN Ia,,"Pan-STARRS, ATLAS",,"Pan-STARRS, ATLAS",2022/8/22 6:39,19.59,w-P1,w-P1,,,PS22hgb,None,None,,
114276,SN,2022sas,253.51591249999998,-5.350722222,0.0595,,SN Ia,,"ZTF, ATLAS, Fink",,"ZTF, ATLAS",2022/8/22 4:06,19.4,r-ZTF,r-ZTF,,,ZTF22abbzucj,None,None,,
114280,SN,2022saw,272.3184208333333,22.16339722222222,0.136,,SN Ia,,ZTF,,ZTF,2022/7/2 8:29,20.1759,g-ZTF,g-ZTF,,,ZTF22aarmiqk,None,None,,
114311,SN,2022scb,302.07508333333334,-59.97898056,0.07,,SN Ia,,"ATLAS, GaiaAlerts",,"ATLAS, GaiaAlerts",2022/8/22 22:49,18.296,orange-ATLAS,orange-ATLAS,,,ATLAS22bblz,None,None,,
114319,SN,2022sci,73.60539166666668,-1.498991667,0.087,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/24 10:37,19.55,g-ZTF,g-ZTF,,,ZTF22abcsiqk,None,None,,
114337,SN,2022sda,329.72326666666663,-22.20577222,0.09,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/21 7:01,19.28,g-ZTF,g-ZTF,,,ZTF22abbtjlb,None,None,,
114338,SN,2022sdb,195.78689166666666,-41.16170278,0.0197,,SN Ia-91T-like,,ATLAS,,ATLAS,2022/8/25 0:07,16.8,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bbsv,None,None,,
114357,SN,2022sdu,255.31316249999998,40.29126111111111,0.065,,SN Ia,,"ZTF, ATLAS, Fink",,"ZTF, ATLAS",2022/8/21 5:42,20.82,g-ZTF,g-ZTF,,,ZTF22abcuiht,None,None,,
114359,SN,2022sdw,246.08308333333332,41.09823888888889,0.094,,SN Ia,,"ZTF, ATLAS, Fink, YSE, GaiaAlerts",,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts",2022/8/25 3:59,19.93,r-ZTF,r-ZTF,,,ZTF22abcuctb,None,None,,
114392,SN,2022sfc,15.834162500000001,28.713852777777777,0.033,,SN Ia,,"ZTF, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/24 10:29,21.29,g-ZTF,g-ZTF,,,ZTF22abdfjjo,None,None,,
114395,SN,2022sff,119.02095833333333,33.47176944444445,0.074,,SN Ia,,"ZTF, GaiaAlerts, ATLAS",,"ZTF, GaiaAlerts, ATLAS",2022/8/25 12:10,20.1,r-ZTF,r-ZTF,,,ZTF22abdibiz,None,None,,
114396,SN,2022sfg,44.682695833333334,9.952044444444443,0.062,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/23 11:36,19.35,r-ZTF,r-ZTF,,,ZTF22abclcse,None,None,,
114446,SN,2022she,312.92350000000005,-52.77196111,0.05,,SN Ia,,"ATLAS, GaiaAlerts",,"ATLAS, GaiaAlerts",2022/8/25 4:27,18.246,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bbyz,None,None,,
114447,SN,2022shf,306.50695833333333,-27.05285,0.07,,SN Ia,,"ATLAS, ZTF, Pan-STARRS, GaiaAlerts",,"ATLAS, ZTF, Pan-STARRS, GaiaAlerts",2022/8/26 4:01,19.752,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bbza,None,None,,
114453,SN,2022shl,2.6246791666666667,42.60293055555556,0.031,,SN Ia,,"ZTF, ATLAS, Fink",,"ZTF, ATLAS",2022/8/27 8:47,19.3,g-ZTF,g-ZTF,,,ZTF22abdlohy,None,None,,
114463,SN,2022shv,272.8773458333333,36.17399722222222,0.074,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/25 4:17,19.96,r-ZTF,r-ZTF,,,ZTF18abfchzq,None,None,,
114473,SN,2022sif,118.36352916666667,28.76251111111111,0.064,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/27 12:06,18.382,r-ZTF,r-ZTF,,,ZTF22abdoehm,None,None,,
114493,SN,2022siz,296.7701,-24.08797778,0.07,,SN Ia,,"ATLAS, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/8/23 3:46,18.937,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bcdn,None,None,,
114496,SN,2022sjc,237.00179166666666,74.59403888888889,0.072,,SN Ia,,"ATLAS, ZTF, GaiaAlerts",,"ATLAS, ZTF, GaiaAlerts",2022/8/26 7:22,18.485,orange-ATLAS,orange-ATLAS,,,ATLAS22bcdy,None,None,,
114499,SN,2022sjf,319.2902916666667,6.597530555555555,0.042,,SN Ia,,"ZTF, ATLAS, Fink",,"ZTF, ATLAS",2022/8/26 5:58,20.01,r-ZTF,r-ZTF,,,ZTF22abddvec,None,None,,
114512,SN,2022sjs,271.24865416666665,23.90406388888889,0.065,,SN Ia,,ATLAS,,ATLAS,2022/8/24 7:41,19.081,orange-ATLAS,orange-ATLAS,,,ATLAS22bcfa,None,None,,
114528,SN,2022ski,6.243258333333333,-18.57276667,0.12,,SN Ia,,"ATLAS, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/8/23 7:07,19.718,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bbwl,None,None,,
114543,SN,2022skw,28.93610833333333,-25.24874444,0.07,,SN Ia-91bg-like,,"ATLAS, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/8/22 6:07,19.736,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bcgo,None,None,,
114550,SN,2022sld,318.4178166666666,-10.76570833,0.11,,SN Ia,,"ATLAS, ALeRCE",,"ATLAS, ZTF",2022/8/24 3:49,19.234,cyan-ATLAS,cyan-ATLAS,,,ATLAS22bcgy,None,None,,
114562,SN,2022slp,115.11977083333333,13.875644444444445,0.02907,,SN Ia,,ALeRCE,,ZTF,2022/8/28 12:05,18.8053,r-ZTF,r-ZTF,,,ZTF22abdvqqn,None,None,,
114567,SN,2022slu,46.536412500000004,-11.55288333,0.13,,SN Ia,,"Pan-STARRS, ZTF, ATLAS",,"Pan-STARRS, ZTF, ATLAS",2022/8/22 14:22,20.99,w-P1,w-P1,,,PS22hja,None,None,,
114585,SN,2022sml,15.818354166666667,-10.23838333,0.087,,SN Ia,,"ALeRCE, ATLAS",,"ZTF, ATLAS",2022/8/28 9:33,19.797,g-ZTF,g-ZTF,,,ZTF22abdtcki,None,None,,
114595,SN,2022smv,23.658279166666667,36.72069444444445,0.081,,SN Ia,,"ALeRCE, Fink, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/26 10:15,20.7582,g-ZTF,g-ZTF,,,ZTF22abdlnkm,None,None,,
