date,twilight_window,n_candidates,n_planned,unique_targets_observed,repeat_fraction,sum_time_s,dp_time_s,backfill_time_s,window_cap_s,swap_count,internal_filter_changes,filter_change_s_total,inter_exposure_guard_s,inter_exposure_guard_count,mean_slew_s,median_airmass,loaded_filters,filters_used_csv,window_start_utc,window_end_utc,window_duration_s,window_mid_utc,sun_alt_mid_deg,policy_filters_mid_csv,window_utilization,cap_utilization,cap_source,median_sky_mag_arcsec2,median_alt_deg,cad_median_abs_err_by_filter_csv,cad_within_pct_by_filter_csv,cad_median_abs_err_all_d,cad_within_pct_all,quota_assigned,n_candidates_pre_cap,n_candidates_post_cap
2023-01-14,morning,65,43,43,0.0,956.0,818.7,137.3,960,1,0,120.0,353.9,41,6.358498483353458,1.3371141604390402,"g,r,i,z","g,i",2023-01-15T08:57:00+00:00,2023-01-15T09:13:00+00:00,960,2023-01-15T09:05:00+00:00,-10.47,"r,i,g,z",0.9959,0.9959,window_duration,17.845269691104523,48.34,"g:2.01,i:4.01","g:0.0,i:26.5",4.005,25.7,516,65,65
2023-01-15,evening,86,40,40,0.0,895.6,763.5,132.2,900,1,0,120.0,303.0,38,6.855838267285753,1.20392764797819,"g,r,i,z","g,r",2023-01-16T00:32:00+00:00,2023-01-16T00:47:00+00:00,900,2023-01-16T00:39:30+00:00,-10.51,"r,i,g,z",0.9951,0.9951,window_duration,18.555334333088517,56.115,"g:3.0,r:0.0","g:0.0,r:97.1",0.001,94.4,500,86,86
2023-01-15,morning,72,40,40,0.0,784.3,761.3,23.1,900,0,0,0.0,306.8,38,7.031812703051355,1.2748059165685874,"g,r,i,z",z,2023-01-16T08:58:00+00:00,2023-01-16T09:13:00+00:00,900,2023-01-16T09:05:30+00:00,-10.56,"r,i,g,z",0.8715,0.8715,window_duration,16.909158265181063,51.605000000000004,z:0.5,z:79.4,0.502,79.4,499,72,72
2023-01-16,evening,87,40,40,0.0,900.0,765.7,134.3,900,1,0,120.0,303.6,37,6.895543568740186,1.1877470234507224,"g,r,i,z","g,i",2023-01-17T00:32:00+00:00,2023-01-17T00:47:00+00:00,900,2023-01-17T00:39:30+00:00,-10.57,"r,i,g,z",1.0,1.0,window_duration,17.433487237376752,57.295,"g:2.0,i:0.0","g:100.0,i:100.0",0.001,100.0,500,87,87
2023-01-16,morning,71,46,46,0.0,895.6,875.1,20.5,900,0,0,0.0,375.5,44,6.523184545269232,1.285368875323928,"g,r,i,z",g,2023-01-17T08:59:00+00:00,2023-01-17T09:14:00+00:00,900,2023-01-17T09:06:30+00:00,-10.56,"r,i,g,z",0.9951,0.9951,window_duration,18.62929930060875,51.015,g:4.01,g:23.1,4.005,23.1,499,71,71
2023-01-17,evening,86,43,43,0.0,958.6,827.0,131.6,960,1,0,120.0,326.2,41,6.870062866962308,1.2088702417295856,"g,r,i,z","g,z",2023-01-18T00:31:00+00:00,2023-01-18T00:47:00+00:00,960,2023-01-18T00:39:00+00:00,-10.54,"r,i,g,z",0.9985,0.9985,window_duration,16.089800384174545,55.75,"g:3.0,z:0.0","g:0.0,z:97.4",0.001,94.9,516,86,86
2023-01-17,morning,71,40,40,0.0,896.2,756.5,139.7,900,1,0,120.0,311.2,38,6.838616160364845,1.1847540596463197,"g,r,i,z","g,r",2023-01-18T09:00:00+00:00,2023-01-18T09:15:00+00:00,900,2023-01-18T09:07:30+00:00,-10.56,"r,i,g,z",0.9958,0.9958,window_duration,19.127063473878245,57.519999999999996,"g:2.99,r:4.0","g:0.0,r:48.6",3.496,47.2,483,71,71
2023-01-18,evening,86,45,45,0.0,882.1,882.1,0.0,900,0,0,0.0,369.0,44,6.46768921007532,1.2021430528186028,"g,r,i,z",g,2023-01-19T00:31:00+00:00,2023-01-19T00:46:00+00:00,900,2023-01-19T00:38:30+00:00,-10.51,"r,i,g,z",0.9801,0.9801,window_duration,18.17712582281228,56.23,g:0.0,g:97.6,0.002,97.6,500,86,86
2023-01-18,morning,70,40,40,0.0,899.8,760.0,139.7,900,1,0,120.0,313.4,38,6.782525268531694,1.1886015798490304,"g,r,i,z","g,i",2023-01-19T09:01:00+00:00,2023-01-19T09:16:00+00:00,900,2023-01-19T09:08:30+00:00,-10.56,"r,i,g,z",0.9997,0.9997,window_duration,17.927780880434756,57.225,"g:3.0,i:0.0","g:0.0,i:73.5",0.003,71.4,499,70,70
2023-01-19,evening,84,40,39,0.025,899.5,767.9,131.6,900,1,0,120.0,306.0,37,6.878710224653913,1.2075434488884929,"g,r,i,z","i,r",2023-01-20T00:31:00+00:00,2023-01-20T00:46:00+00:00,900,2023-01-20T00:38:30+00:00,-10.58,"r,i,g,z",0.9995,0.9995,window_duration,18.628181478757103,55.855000000000004,"i:1.0,r:0.0","i:100.0,r:97.3",0.001,97.4,500,84,84
